track_id_atualizado,track_name_clean,artist_s__name_clean,count_songs,artist_count,data_de_lancamento,streams,in_spotify_charts,in_spotify_playlists,in_apple_charts,in_apple_playlists,in_deezer_charts,in_deezer_playlists,total_participation_in_playlist,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,terciles_streams,categoria_streams,terciles_bpm,categoria_bpm,terciles_danceability,categoria_danceability,terciles_valence,categoria_valence,terciles_energy,categoria_energy,terciles_acousticness,categoria_acousticness,terciles_instrumentalness,categoria_instrumentalness,terciles_liveness,categoria_liveness,terciles_speechiness,categoria_speechiness
2619841,chemical,post malone,3,1,2023-04-14,172825906,39,2528,91,56,3,59,2643,170,50,37,90,0,0,12,5,1,baixo,3,alto,1,baixo,1,baixo,3,alto,1,baixo,2,medio,2,medio,2,medio
7179210,still with you,jung kook,2,1,2020-06-05,38411956,39,31,107,2,0,8,41,88,53,34,47,9,0,83,4,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,2,medio,3,alto,3,alto,1,baixo
7624098,s91,karol g,4,1,2023-07-14,16011326,41,525,115,34,6,39,598,128,86,42,72,59,0,9,19,1,baixo,2,medio,3,alto,2,medio,2,medio,3,alto,2,medio,1,baixo,3,alto
4796316,style,taylor swift,34,1,2014-01-01,786181836,42,7830,111,94,4,151,8075,95,60,48,79,0,0,12,4,3,alto,1,baixo,1,baixo,2,medio,3,alto,1,baixo,2,medio,2,medio,1,baixo
2770990,moonlight,kali uchis,1,1,2023-02-24,256483385,42,2649,79,67,1,57,2773,137,64,88,72,51,0,17,5,2,medio,3,alto,2,medio,3,alto,2,medio,3,alto,3,alto,2,medio,2,medio
6322459,titi me pregunt,bad bunny,19,1,2022-05-06,1264310836,42,9037,133,124,14,139,9300,107,65,19,72,10,0,13,25,3,alto,2,medio,2,medio,1,baixo,2,medio,2,medio,2,medio,2,medio,3,alto
4527090,yellow,chris molitor,1,1,1999-01-01,1755214421,43,31358,2,196,5,4053,35607,173,43,28,66,0,0,23,3,3,alto,3,alto,1,baixo,1,baixo,2,medio,1,baixo,1,baixo,3,alto,1,baixo
1663974,without me,eminem,4,1,2002-01-01,1687664027,43,21081,76,98,5,3889,25068,112,92,67,66,0,0,36,9,3,alto,2,medio,3,alto,3,alto,2,medio,1,baixo,2,medio,3,alto,3,alto
4350729,set fire to the rain,adele,4,1,2011-01-01,1163620694,43,14739,112,88,5,2163,16990,108,61,47,68,0,0,13,3,3,alto,2,medio,1,baixo,2,medio,2,medio,1,baixo,3,alto,2,medio,1,baixo
7325433,counting stars,onerepublic,2,1,2013-01-01,2011464183,43,29215,97,179,11,3394,32788,122,66,48,71,6,0,12,4,3,alto,2,medio,2,medio,2,medio,2,medio,1,baixo,2,medio,2,medio,1,baixo
7366228,columbia,quevedo,4,1,2023-07-07,58149378,43,714,89,25,13,30,769,100,67,26,71,37,0,11,4,1,baixo,1,baixo,2,medio,1,baixo,2,medio,3,alto,2,medio,2,medio,1,baixo
2480109,bones,imagine dragons,3,1,2021-03-11,838079900,44,4198,108,98,17,327,4623,114,77,65,72,2,0,7,5,3,alto,2,medio,3,alto,3,alto,2,medio,1,baixo,2,medio,1,baixo,2,medio
2865125,doja,central cee,2,1,2022-07-20,482257456,44,4169,44,57,1,183,4409,140,91,97,57,38,0,40,29,3,alto,3,alto,3,alto,3,alto,1,baixo,3,alto,2,medio,3,alto,3,alto
3894522,la bachata,manuel turizo,1,1,2022-05-26,1214083358,45,6804,111,139,15,161,7104,125,84,85,68,58,0,22,4,3,alto,2,medio,3,alto,3,alto,2,medio,3,alto,2,medio,3,alto,1,baixo
